City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hamilton,US,39.1834,-84.5333,55.4,91,90,1.01,overcast clouds
1,Broome,US,42.2506,-75.833,43.2,87,90,1.01,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,33.46,80,75,11.5,light snow
3,Husavik,IS,66.0449,-17.3389,28.31,96,100,2.95,overcast clouds
4,Fallon,US,39.4735,-118.7774,52.29,75,90,0.0,overcast clouds
5,Sambava,MG,-14.2667,50.1667,77.02,87,86,4.52,overcast clouds
6,Hokitika,NZ,-42.7167,170.9667,56.25,87,100,4.43,overcast clouds
7,Jamestown,US,42.097,-79.2353,44.29,96,75,1.99,broken clouds
8,Nome,US,64.5011,-165.4064,32.07,75,1,3.44,clear sky
9,Santiago De Cao,PE,-7.9589,-79.2392,62.33,88,45,12.46,scattered clouds
10,Bengkulu,ID,-3.8004,102.2655,78.44,83,99,2.93,overcast clouds
11,Leshukonskoye,RU,64.8989,45.7622,24.21,96,100,3.58,overcast clouds
12,Rio Grande,BR,-32.035,-52.0986,57.94,89,82,13.53,broken clouds
13,Saldanha,ZA,-33.0117,17.9442,48.25,72,0,8.55,clear sky
14,Cape Town,ZA,-33.9258,18.4232,55.11,77,0,5.75,clear sky
15,Pochutla,MX,15.7432,-96.4661,74.82,89,73,3.83,broken clouds
16,Busselton,AU,-33.65,115.3333,76.05,59,100,7.87,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,75.06,79,100,19.42,overcast clouds
18,Midland,US,31.9974,-102.0779,74.68,57,1,10.36,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,71.08,90,24,29.73,few clouds
20,Mount Isa,AU,-20.7333,139.5,98.37,19,40,9.22,scattered clouds
21,Alofi,NU,-19.0595,-169.9187,78.69,53,99,16.11,overcast clouds
22,Guerrero Negro,MX,27.9769,-114.0611,66.04,80,14,18.01,few clouds
23,Namalenga,TZ,-10.95,39.1,71.96,80,33,3.18,scattered clouds
24,Avarua,CK,-21.2078,-159.775,73.45,53,90,6.91,haze
25,Sardarshahr,IN,28.4333,74.4833,72.28,64,99,12.19,overcast clouds
26,Kavieng,PG,-2.5744,150.7967,85.32,69,22,11.97,few clouds
27,Hilo,US,19.7297,-155.09,78.53,75,20,5.75,few clouds
28,Nanzhang,CN,31.7765,111.8386,64.81,44,1,4.5,clear sky
29,Puerto Ayora,EC,-0.7393,-90.3518,68.86,89,73,7.63,broken clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,49.87,77,0,3.0,clear sky
31,Hithadhoo,MV,-0.6,73.0833,82.98,73,99,12.41,overcast clouds
32,Yellowknife,CA,62.456,-114.3525,42.42,80,75,14.97,broken clouds
33,Faanui,PF,-16.4833,-151.75,76.28,86,87,14.07,light rain
34,Kavaratti,IN,10.5669,72.642,81.03,75,79,2.53,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,55.65,56,100,3.0,overcast clouds
36,Puerto Carreno,CO,6.189,-67.4859,77.38,86,99,4.88,overcast clouds
37,Krasnyy Chikoy,RU,50.3643,108.7512,42.67,42,100,1.95,overcast clouds
38,Clyde River,CA,70.4692,-68.5914,17.01,84,92,11.56,overcast clouds
39,Kieta,PG,-6.2167,155.6333,83.79,74,20,5.5,light rain
40,Sorland,NO,67.667,12.6934,41.72,82,100,16.04,light rain
41,Pevek,RU,69.7008,170.3133,9.01,92,100,4.56,overcast clouds
42,Bosaso,SO,11.2842,49.1816,79.34,59,75,3.09,broken clouds
43,Ribeira Grande,PT,38.5167,-28.7,67.24,59,69,10.56,broken clouds
44,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,88,75,9.78,broken clouds
45,Palasa,IN,18.7667,84.4167,80.92,61,88,3.65,overcast clouds
